Player,Year,Team,Region,reg_avg,reg_n,intl_avg,intl_n
Riens,2025,Team Heretics,EMEA,9.6875,16,6.636363636363637,11
RobbieBK,2025,LOUD,AMER,4.4,5,3.75,4
Rossy,2024,T1,PAC,6.916666666666667,12,7.2,5
Rossy,2026,ENVY,AMER,7.4,5,7.2,5
RunneR,2025,GIANTX,EMEA,3.75,4,5.0,3
Rushia,2025,Bilibili Gaming,CN,10.666666666666666,9,4.4,5
Russ,2024,Global Esports,PAC,4.6,10,3.0,3
Ruxic,2025,Natus Vincere,EMEA,10.352941176470589,17,6.5,2
Ruxic,2026,Natus Vincere,EMEA,8.8,5,7.8,5
SSeeS,2024,DetonatioN FocusMe,PAC,3.4,10,3.5,2
SSeeS,2026,Detonation FocusMe,PAC,4.333333333333333,6,4.428571428571429,7
SUYGETSU,2024,Natus Vincere,EMEA,5.5,12,6.0,3
SUYGETSU,2025,Karmine Corp,EMEA,9.666666666666666,12,8.666666666666666,3
SUYGETSU,2026,Karmine Corp,EMEA,4.4,5,7.25,4
Saadhak,2025,Karmine Corp,EMEA,5.833333333333333,12,7.0,3
Sacy,2024,Sentinels,AMER,4.7272727272727275,11,6.35,20
Sato,2026,LEVIATÁN,AMER,10.333333333333334,9,6.8,5
Sayaplayer,2024,T1,PAC,7.571428571428571,14,7.6,5
Sayf,2024,Team Vitality,EMEA,9.4,15,7.375,8
Sayf,2025,Team Vitality,EMEA,4.714285714285714,7,8.875,8
Scales,2026,TYLOO,CN,6.666666666666667,9,7.857142857142857,7
Serial,2025,Team Liquid,EMEA,6.444444444444445,9,7.0,3
Setrod,2026,FunPlus Phoenix,CN,5.6,5,3.0,3
ShadoW,2024,KOI,EMEA,4.4,10,4.2,5
Shao,2024,Natus Vincere,EMEA,6.166666666666667,12,7.0,3
Shao,2025,Natus Vincere,EMEA,7.235294117647059,17,8.0,2
Sheydos,2025,KOI,EMEA,3.6,5,2.5,2
Shiro,2025,BOOM Esports,?,5.333333333333333,12,3.5,2
Shr1mp,2026,All Gamers,CN,6.8,10,7.857142857142857,7
Shyy,2024,KRÜ Esports,AMER,7.25,16,5.4,5
Shyy,2025,KR Esports,?,7.0,13,10.2,5
SiuFatBB,2026,Wolves Esports,CN,2.8,5,5.6,5
SiufatBB,2025,Wolves Esports,CN,2.4,5,5.142857142857143,7
Skuba,2025,NRG Esports,AMER,8.9,10,11.333333333333334,6
Smoggy,2025,Edward Gaming,CN,6.3,10,8.428571428571429,7
SociablEE,2026,Natus Vincere,EMEA,7.125,8,4.6,5
Sociablee,2025,BBL Esports,EMEA,9.055555555555555,18,10.25,4
Something,2025,Paper Rex,PAC,10.411764705882353,17,9.25,16
Soulcas,2025,KOI,EMEA,5.0,5,5.5,2
Spike,2026,LEVIATÁN,AMER,9.88888888888889,9,4.6,5
SpiritZ1,2025,Dragon Ranger Gaming,CN,9.333333333333334,9,7.0,2
SpiritZ1,2026,Dragon Ranger Gaming,CN,7.909090909090909,11,7.0,5
Spring,2025,Wolves Esports,CN,5.0,5,10.428571428571429,7
Spring,2026,Wolves Esports,CN,5.6,5,6.8,5
Stax,2025,T1,PAC,5.875,16,7.25,16
Stax,2026,T1,PAC,6.75,8,7.777777777777778,9
SugarZ3ro,2024,ZETA DIVISION,PAC,6.4,10,3.2,5
SugarZ3ro,2025,Zeta Division,PAC,6.8,10,3.0,2
SugarZ3ro,2026,ZETA DIVISION,PAC,4.6,5,5.5,4
Supamen,2025,Evil Geniuses,AMER,5.928571428571429,14,5.333333333333333,3
Sylvan,2025,T1,PAC,5.571428571428571,7,8.88888888888889,9
Sylvan,2026,Team Secret,PAC,7.6,5,2.0,3
SyouTa,2026,ZETA DIVISION,PAC,5.2,5,3.5,4
Syouta,2025,Zeta Division,PAC,5.0,5,3.0,2
T3xture,2025,Gen.G,PAC,10.466666666666667,15,12.6,10
TakaS,2024,Gentle Mates,EMEA,4.5,10,8.0,2
TenZ,2024,Sentinels,AMER,6.818181818181818,11,9.15,20
Tex,2026,MIBR,AMER,4.714285714285714,7,7.2,5
Timotino,2026,100 Thieves,AMER,7.555555555555555,9,8.75,8
Trent,2025,G2 Esports,AMER,11.473684210526315,19,10.0,19
Trexx,2025,Team Liquid,EMEA,10.0,8,7.454545454545454,11
Udotan,2025,Global Esports,PAC,7.3,10,7.333333333333333,3
Udotan,2026,Global Esports,PAC,6.444444444444445,9,10.166666666666666,6
Valyn,2025,G2 Esports,AMER,10.894736842105264,19,8.578947368421053,19
Veqaj,2026,FNATIC,EMEA,9.0,3,10.428571428571429,7
Verno,2025,MIBR,AMER,7.285714285714286,14,6.818181818181818,11
Verno,2026,MIBR,AMER,4.571428571428571,7,9.4,5
Victor,2024,NRG,?,7.0,10,8.666666666666666,3
Viva,2025,Xi Lai Gaming,CN,6.375,8,3.2,5
Viva,2026,Trace Esports,CN,3.625,8,5.4,5
Vo0kashu,2026,Dragon Ranger Gaming,CN,8.727272727272727,11,9.2,5
Vora,2026,100 Thieves,AMER,4.777777777777778,9,7.125,8
Wailers,2024,Gentle Mates,EMEA,3.7,10,3.0,2
Westside,2025,GIANTX,EMEA,7.5,16,5.75,8
Westside,2026,GIANTX,EMEA,6.8,5,5.6,5
Whzy,2025,Bilibili Gaming,CN,12.444444444444445,9,6.6,5
Wild0reoo,2025,Team Secret,PAC,3.6,10,3.5,2
Wo0t,2024,Team Heretics,EMEA,9.0,14,8.647058823529411,17
Wo0t,2025,Team Heretics,EMEA,10.375,16,6.363636363636363,11
Wo0t,2026,Team Heretics,EMEA,10.636363636363637,11,5.166666666666667,6
WsLeo,2026,Xi Lai Gaming,CN,8.454545454545455,11,7.0,6
Xdll,2025,Zeta Division,PAC,7.1,10,2.0,2
Xdll,2026,ZETA DIVISION,PAC,3.4,5,4.75,4
Xenom,2025,MIBR,AMER,7.214285714285714,14,6.214285714285714,14
Xeppaa,2024,Cloud9,AMER,4.916666666666667,12,4.666666666666667,3
Xeppaa,2025,Cloud9,AMER,7.25,16,8.666666666666666,3
Xeppaa,2026,Cloud9,AMER,4.6,5,8.0,7
Xeus,2025,FUT Esports,EMEA,8.23076923076923,13,10.5,4
Xffero,2025,Rex Regum Qeon,PAC,8.45,20,5.666666666666667,9
Xffero,2026,Rex Regum Qeon,PAC,8.125,8,8.8,5
Xross,2026,Nongshim RedForce,PAC,8.5,6,11.0,8
XuNa,2026,VARREL,PAC,5.0,5,7.0,3
Yatsuka,2026,Detonation FocusMe,PAC,4.5,6,6.0,7
Yay,2025,Evil Geniuses,AMER,8.714285714285714,14,4.333333333333333,3
Yetujey,2025,FUT Esports,EMEA,7.230769230769231,13,9.25,4
Yetujey,2026,FUT Esports,EMEA,7.75,8,4.333333333333333,3
